Year,Sports_Type,Medal_Won,Sports_Total_Medals,Normalised_Win
2020,Archery,0,15,0.000
2020,Gymnastics,11,55,0.200
2020,Water Sports,28,273,0.103
2020,Athletics,5,144,0.035
2020,Racket Sports,13,45,0.289
2020,Ball Sports,1,54,0.019
2020,Combat Sports,10,284,0.035
2020,Cycling Sports,1,66,0.015
2020,Equestrian,0,18,0.000
2020,Golf,0,6,0.000
2020,Multi-Sports,0,15,0.000
2020,Shooting Sports,11,45,0.244
2020,Action Sports,0,12,0.000
2020,Climbing Sports,0,6,0.000
2020,Weightlifting,8,42,0.190
2016,Archery,0,12,0.000
2016,Gymnastics,5,54,0.093
2016,Water Sports,21,261,0.080
2016,Athletics,6,141,0.043
2016,Racket Sports,9,42,0.214
2016,Ball Sports,1,42,0.024
2016,Combat Sports,12,241,0.050
2016,Cycling Sports,1,54,0.019
2016,Equestrian,0,18,0.000
2016,Golf,1,6,0.167
2016,Multi-Sports,0,12,0.000
2016,Shooting Sports,7,45,0.156
2016,Action Sports,0,0,0.000
2016,Climbing Sports,0,0,0.000
2016,Weightlifting,7,45,0.156