"Country,Medals,Total"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Gold,39"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Silver,41"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"United States,Bronze,33"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Gold,38"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Silver,32"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"China,Bronze,18"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Gold,27"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Silver,14"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Japan,Bronze,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Gold,17"
"Australia,Silver,7"
"Australia,Silver,7"
"Australia,Silver,7"
"Australia,Silver,7"
"Australia,Silver,7"
"Australia,Silver,7"
"Australia,Silver,7"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"Australia,Bronze,22"
"France,Gold,10"
"France,Gold,10"
"France,Gold,10"
"France,Gold,10"
"France,Gold,10"
"France,Gold,10"
"France,Gold,10"
"France,Gold,10"
"France,Gold,10"
"France,Gold,10"
"France,Silver,12"
"France,Silver,12"
"France,Silver,12"
"France,Silver,12"
"France,Silver,12"
"France,Silver,12"
"France,Silver,12"
"France,Silver,12"
"France,Silver,12"
"France,Silver,12"
"France,Silver,12"
"France,Silver,12"
"France,Bronze,11"
"France,Bronze,11"
"France,Bronze,11"
"France,Bronze,11"
"France,Bronze,11"
"France,Bronze,11"
"France,Bronze,11"
"France,Bronze,11"
"France,Bronze,11"
"France,Bronze,11"
"France,Bronze,11"