Country,Medals,Count,Count_Start,Count_End
United States,Gold,39,0,39
United States,Silver,41,39,80
United States,Bronze,33,80,113
China,Gold,38,0,38
China,Silver,32,38,70
China,Bronze,18,70,18
Russia,Gold,20,0,20
Russia,Silver,28,20,48
Russia,Bronze,23,48,71
United Kingdom,Gold,22,0,22
United Kingdom,Silver,21,22,43
United Kingdom,Bronze,22,43,65
Japan,Gold,27,0,27
Japan,Silver,14,27,41
Japan,Bronze,17,41,58
Australia,Gold,17,0,17
Australia,Silver,7,17,24
Australia,Bronze,22,24,46
Italy,Gold,10,0,10
Italy,Silver,10,10,20
Italy,Bronze,20,20,40
Germany,Gold,10,0,10
Germany,Silver,11,10,21
Germany,Bronze,16,21,37
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,