Country,Total_Medals
United States of America,113
China,94
Japan,58
United Kingdom,66
Russia,71
Australia,46
Netherlands,36
France,33
Germany,37
Italy,40
Canada,24
Brazil,21
New Zealand,20
Cuba,15
Hungary,20
South Korea,20
Poland,14
Czechia,11
Kenya,10
Norway,8
Jamaica,9
Spain,17
Sweden,9
Switzerland,13
Denmark,11
Croatia,8
Iran,7
Serbia,9
Belgium,7
Bulgaria,6
Slovenia,5
Uzbekistan,5
Georgia,8
Taiwan,12
Turkey,13
Greece,4
Uganda,4
Ecuador,3
Ireland,4
Israel,4
Qatar,3
Bahamas,2
Kosovo,2
Ukraine,19
Belarus,7
Romania,4
Venezuela,4
India,7
Philippines,4
Slovakia,4
South Africa,3
Austria,7
Egypt,6
Indonesia,5
Ethiopia,4
Portugal,4
Tunisia,2
Estonia,2
Fiji,2
Latvia,2
Thailand,2
Morocco,1
Puerto Rico,1
Colombia,5
Azerbaijan,7
Dominican Rep.,5
Armenia,4
Kyrgyzstan,3
Mongolia,4
Argentina,3
Jordan,2
Malaysia,2
Nigeria,2
Saudi Arabia,1
Lithuania,1
North Macedonia,1
Namibia,1
Turkmenistan,1
Kazakhstan,8
Mexico,4
Finland,2
Botswana,1
Burkina Faso,1
C̫te d'Ivoire,1
Ghana,1
Kuwait,1
Moldova,1
Syria,1